# L=200000, N=100000, PBC, precision=1000, alpha=2.0 
# l    S1    S1_OP    S_alpha    S_alpha_OP(1)    sigma2 H2 navge_alpha S_alpha_OP(3) S_alpha_OP(4) S_alpha_OP(5) 
603 2.860034337124433E+00 1.505772949571897E+00 2.178000620848321E+00 9.653656978160443E-01 8.786842565991273E-01 1.202663563580962E+00 3.014999999999999E+02 9.649810047956553E-01 9.649810047956553E-01 9.651751844061141E-01 
666 2.893157407421433E+00 1.533198939101705E+00 2.202481921022397E+00 9.846164234140454E-01 8.887523291927200E-01 1.207820344124524E+00 3.329999999999999E+02 9.842367607878761E-01 9.842367607878761E-01 9.844283830571189E-01 
736 2.926469551666740E+00 1.560846195198920E+00 2.227482323293070E+00 1.004039838789240E+00 8.988780116743950E-01 1.213472871568699E+00 3.679999999999999E+02 1.003665299944785E+00 1.003665299944785E+00 1.003854330253740E+00 
814 2.960044649084384E+00 1.588775918857818E+00 2.252678503096761E+00 1.023678967055440E+00 9.090836214898483E-01 1.219104836664819E+00 4.069999999999999E+02 1.023309511766494E+00 1.023309511766494E+00 1.023495970367380E+00 
900 2.993520765498761E+00 1.616686073233446E+00 2.277798987319425E+00 1.043321174498192E+00 9.192591439521089E-01 1.224656628222025E+00 4.499999999999999E+02 1.042956707586269E+00 1.042956707586269E+00 1.043140642553799E+00 
994 3.026632476468754E+00 1.644352711965598E+00 2.302644763033181E+00 1.062808149640087E+00 9.293238998254403E-01 1.230087027073964E+00 4.969999999999999E+02 1.062448538549765E+00 1.062448538549765E+00 1.062630016889265E+00 
1099 3.060102382910114E+00 1.672378256475019E+00 2.327966066146633E+00 1.082563836864914E+00 9.394975755614943E-01 1.235807881113853E+00 5.494999999999999E+02 1.082209102370950E+00 1.082209102370950E+00 1.082388118326655E+00 
1215 3.093546506299085E+00 1.700440814257572E+00 2.353039228101978E+00 1.102361265105812E+00 9.496633642166433E-01 1.241145988906338E+00 6.074999999999999E+02 1.102011270550524E+00 1.102011270550524E+00 1.102187887709667E+00 
1342 3.126681044019858E+00 1.728300138068945E+00 2.377710967574076E+00 1.122030379905104E+00 9.597350230813161E-01 1.246140963580948E+00 6.709999999999999E+02 1.121684974392136E+00 1.121684974392136E+00 1.121859265755905E+00 
1484 3.160202246770005E+00 1.756540609477537E+00 2.402860009510309E+00 1.141983476723009E+00 9.699242480955490E-01 1.251405225896765E+00 7.419999999999999E+02 1.141642676451733E+00 1.141642676451733E+00 1.141814637884573E+00 
1640 3.193513933169858E+00 1.784659257416089E+00 2.427851092081222E+00 1.161865013377627E+00 9.800497875518039E-01 1.256581702847225E+00 8.199999999999999E+02 1.161528714191294E+00 1.161528714191294E+00 1.161698398396945E+00 
1812 3.226750783564092E+00 1.812767948408540E+00 2.452785337894523E+00 1.181753609335234E+00 9.901525794159276E-01 1.261693207686972E+00 9.059999999999998E+02 1.181421727120779E+00 1.181421727120779E+00 1.181589176670000E+00 
2003 3.260145745199368E+00 1.841062795153435E+00 2.477951651704737E+00 1.201787791244220E+00 1.000303443820860E+00 1.266937426972743E+00 1.001500000000000E+03 1.201460288502245E+00 1.201460288502245E+00 1.201625524152929E+00 
