# logL =3000,NumOfEigs=16812,alpha=10.0, threshold = 10e-12 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
199 1.367305830500907E-48157 4.215923758716006E-481554 0.000000000000000E+00 
200 1.471769808796111E-48145 8.803086894519177E-481434 0.000000000000000E+00 
201 1.573462735033142E-48133 1.717120246742245E-481313 0.000000000000000E+00 
202 1.670804933357491E-48121 3.129634209944272E-481193 0.000000000000000E+00 
203 1.762211423342241E-48109 5.331092437058651E-481073 0.000000000000000E+00 
204 1.846134796335083E-48097 8.489266581403489E-480953 0.000000000000000E+00 
205 1.921108926770112E-48085 1.264025954326503E-480832 0.000000000000000E+00 
206 1.985791786937116E-48073 1.760245297182648E-480712 0.000000000000000E+00 
207 2.039005608917634E-48061 2.293085750175050E-480592 0.000000000000000E+00 
208 2.079772705587645E-48049 2.795083808854501E-480472 0.000000000000000E+00 
209 2.107345422305257E-48037 3.188551035968954E-480352 0.000000000000000E+00 
210 2.121228934616804E-48025 3.404956091852761E-480232 0.000000000000000E+00 
211 2.121195921844080E-48013 3.404426214252995E-480112 0.000000000000000E+00 
212 2.107292513810426E-48001 3.187750586381618E-479992 0.000000000000000E+00 
213 2.079835306772056E-47989 2.795925243396082E-479872 0.000000000000000E+00 
214 2.039399651423389E-47977 2.297521046651153E-479752 0.000000000000000E+00 
215 1.986799806931847E-47965 1.769201024998528E-479632 0.000000000000000E+00 
216 1.923061908008576E-47953 1.276934866959215E-479512 0.000000000000000E+00 
217 1.849390987646578E-47941 8.640193331299574E-479393 0.000000000000000E+00 
218 1.767133521173702E-47929 5.481882758866406E-479273 0.000000000000000E+00 
219 1.677737097616446E-47917 3.261933983585655E-479153 0.000000000000000E+00 
220 1.582708877612827E-47905 1.820733885477668E-479033 0.000000000000000E+00 
221 1.483574464480338E-47893 9.535195171739433E-478914 0.000000000000000E+00 
222 1.381838703063394E-47881 4.686079100171881E-478794 0.000000000000000E+00 
223 1.278949740721994E-47869 2.161577809161932E-478674 0.000000000000000E+00 
224 1.176267450850241E-47857 9.360453430198514E-478555 0.000000000000000E+00 
225 1.075037048473285E-47845 3.806014206071397E-478435 0.000000000000000E+00 
226 9.763684375750624E-47834 1.453360689718030E-478315 0.000000000000000E+00 
227 8.812215383617475E-47822 5.212992801300822E-478196 0.000000000000000E+00 
228 7.903975657241007E-47810 1.756677470457253E-478076 0.000000000000000E+00 
229 7.045359814008166E-47798 5.562472411841283E-477957 0.000000000000000E+00 
230 6.241166323862029E-47786 1.655364569990943E-477837 0.000000000000000E+00 
231 5.494664241531820E-47774 4.630711083727416E-477718 0.000000000000000E+00 
232 4.807697629269294E-47762 1.217888553264809E-477598 0.000000000000000E+00 
233 4.180819368275685E-47750 3.011966480087806E-477479 0.000000000000000E+00 
234 3.613445885014449E-47738 7.005701714161157E-477360 0.000000000000000E+00 
235 3.104024567439185E-47726 1.532807406453060E-477240 0.000000000000000E+00 
